category,question,optionA,optionB,optionC,optionD,correct,image,explanation
OPS,"The attitudes to be adopted by the passengers, sitting in the travelling direction, in case of an emergency landing are:<br>1) legs together and feet flat on the floor.<br>2) head resting against the back of the front seat.<br>3) forearms on the armrests.<br>4) seat belt very tightly fastened.<br>5) head resting on the forearm.<br>The combination regrouping all the correct statements is:","2, 4, 5","1, 2, 3, 4","1, 4, 5","2, 3, 4",3,,
OPS,"For aeroplanes having a seating capacity of more than 44 passengers, it must be shown by actual demonstration that the maximum seating capacity, including the required number of crew members, can be evacuated from the aeroplane to the ground in:",60 seconds.,132 seconds.,90 seconds.,120 seconds.,3,,
OPS,"In a ditching situation, except for infants, the passengers shall be instructed to inflate their life jackets:",as soon as ditching is prepared.,immediately on ditching.,when exiting the aircraft.,immediately on the opening of the exits.,3,,
OPS,What do you do after ditching when the aircraft comes to stop?,Extract the landing gear.,Contact other aircraft in the vicinity.,Initiate evacuation.,Inflate life jacket.,3,,
OPS,When would a pilot consider making a precautionary landing?,"With an engine failure, main aerodynamic control failure or broken GPS.","With low fuel, when feeling tired, with the onset of night time.",With an engine failure or loss of spatial awareness or a minor electrical failure.,"With a fire in the cockpit, failure of the main direction indicator or when lost.",2,,
OPS,"In case of a ditching, the cabin attendants will:<br>1) evacuate women and children first.<br>2) have the passengers embark directly in the life rafts.<br>3) prevent passenger movements which may impede the airplanes flotation ability.<br>4) ensure the complete evacuation of the airplane.<br>The combination regrouping all the correct statements is:","1, 2, 3, 4","2, 3","2, 3, 4","1, 4",3,,
OPS,"If obliged to jettison part of the fuel in flight, it would be better to do so:","in a holding stack, after control clearance.",during final phase of approach.,under FL50.,in a straight line and at a relatively high flight level.,4,,
OPS,During the certification flight tests regarding fuel jettisoning it must be shown that:<br>1) Fuel jettisoning system and its operation are free from fire hazard.<br>2) The fuel discharges clear of any part of the aeroplane.<br>3) Fuel fumes do not enter any part of the aeroplane.<br>4) The jettisoning operation does not adversely affect the controllability of the aeroplane.,"1, 3, 4","2, 3","1, 4","1, 2, 3, 4",4,,
OPS,Which is the highest altitude below which you should not jettison fuel?,1 200 m / 4 000 ft AGL,3 000 m / 10 000 ft AGL,1 500 m / 5 000 ft AGL,1 800 m / 6 000 ft AGL,4,,
OPS,In what period of time must a fuel jettisoning system be capable of jettisoning sufficient fuel to meet the specified approach and landing climb performance requirements:,15 minutes.,60 minutes.,90 minutes.,30 minutes.,1,,
OPS,What is the reason for dumping fuel during an emergency after take-off?,To have a better airplane manoeuvrability and get back to the airport quickly for landing.,To get below maximum landing mass (MLM),Lower risk of fire during landing.,To not damage the runway while landing.,2,,
OPS,Refer to the transportation of radioactive goods. Attention should be paid to the following:,Transportation by air only allowed in specialized aircraft.,Limited exposure to passengers on board if stowed in the cabin.,"Transportation is not allowed in passenger aircraft, only in cargo aircraft.",Regulated separation distances from packages of radioactive material to passengers on board.,4,,
OPS,"In compliance with the EASA AIR OPS, unless otherwise specified, when carrying dangerous goods on board a public transport aircraft, they must be accompanied by:",an approval document issued by the Customs.,a certificate of compliance issued by IATA.,a dangerous goods transport document.,an approval document issued by the Operator.,3,,
OPS,ICAO Annex 18 is a document dealing with the:,noise pollution of aircraft.,safety of the air transport of dangerous goods.,technical operational use of cargo aircraft.,air transport of live animals.,2,,
OPS,"The dangerous goods transport document, if required, shall be drawn up by the:",captain.,handling agent.,operator.,shipper.,4,,
OPS,"Concerning the transport of dangerous goods, at least how many pieces of the transport document, including copies, must be retained?",2,4,1,3,1,,
OPS,The complete information regarding the types of goods which the passengers are forbidden from transporting aboard an aircraft is listed in the:,Aircraftâ€™s Flight Manual.,ICAO Annex 18.,"ICAO document ""Technical Instructions for the Safe Transport of Dangerous Goods by Air"".",EASA AIR OPS documentation.,3,,
OPS,A crew member is allowed to carry safety matches: 1) on himself. 2) in his hand baggage. 3) in his checked baggage. 4) for his own use. The combination regrouping all the correct statements is:,"1, 2, 3, 4","1, 2, 4","1, 4","2, 3",3,,
OPS,The content of the dangerous goods transport document is specified in the:,Flight Manual.,Technical Instructions.,Air Transport Permit.,EU-OPS documentation.,2,,
OPS,Who is responsible for defining what is a dangerous good and providing updated instructions on how they should be handled?,Pilot in command,EASA,Operator,ICAO,4,,
OPS,"As a pilot in command, during flight preparation, if you are notified that a dangerous package has been damaged during its loading, you:",accept it after a visual inspection.,mention it on the Notification to Captain.,mention it on the shipper's declaration.,ensure that arrangements are made for its removal.,4,,
OPS,"Which of the following items, required to be on board an aircraft for operating reasons in accordance with the relevant OPS regulations, are classified as dangerous goods?<br>1) Fire extinguishers.<br>2) Self-inflating life jackets.<br>3) Portable oxygen supplies.<br>4) First-aid kits.<br>The combination regrouping all the correct statements is:","1, 2, 3, 4","1, 3, 4","1, 3","2, 4",1,,
OPS,The language(s) used for dangerous goods documentations is/are:,"English, French and any other required language.",State of departure language.,State of operator language.,English and any other required language.,4,,
OPS,"Which of the following dangerous goods are not accepted for the carriage on board of an aircraft, unless adequate authorization is obtained from the appropriate authority?",Explosive solids.,Explosive liquids.,Infected live animals.,Radioactive substances.,3,,
OPS,The dangerous goods transport document regarding the safe transport of dangerous goods by air is specified in the:,air transport permit.,Flight Manual.,Technical Instructions.,Operations Manual.,3,,
OPS,The regulations for transportation of dangerous goods are contained in:,ICAO Annex 18.,ICAO Annex 8.,the Washington Convention.,ICAO Annex 17.,1,,
OPS,Who is responsible for assuring that the air transportation of an item of dangerous goods is not prohibited?,The operator.,The shipper when completing the shipper's declaration for dangerous goods.,It is not specified.,"The captain, always using the list of prohibited aircraft items.",2,,
OPS,"In regards to ICAO Annex 18, when offering dangerous goods for transportation by air, who initially is responsible for compliance with the regulations?",The station manager.,The shipper.,The pilot in command.,The aerodrome manager.,2,,
OPS,"Assuming that the operator is approved by his national authority, carriage of dangerous goods is allowed, provided that:",no passengers and dangerous goods are carried on the same flight.,the operator complies with the technical instructions (ICAO DOC 9284).,the operator has certified the dangerous goods.,the dangerous goods transport document is approved by the national authority prior to each flight.,2,,
OPS,"Some dangerous goods, if in contact with each other, are able to react. The following about those goods is true:",Such goods should be stored in separate compartments.,Such goods should not be stowed next to each other.,Such goods should be transported in different aircraft.,Such goods should be stored in separate containers.,2,,
OPS,Articles and substances are considered to be dangerous goods if defined as such by:,"the UN document entitled ""Dangerous goods regulations"".","the IATA document entitled ""Regulations governing the transportation of dangerous goods by air"".",the directives of the EASA.,"the ICAO document entitled ""Technical Instructions for the safe transport of dangerous goods by air"".",4,,
OPS,A passenger is allowed to carry match-boxes:<br>1) only on himself/herself<br>2) in his/her hand luggage<br>3) in his/her checked luggage<br>The combination regrouping all the correct statements is:,1,"2, 3","1, 2, 3","1, 2",1,,
OPS,"A list of dangerous goods, which may not be transported by air, can be found in:",the technical instructions for the safe transport of dangerous goods by air.,the shippers declaration for dangerous goods.,Annex 18 to the Chicago Convention.,Annex 6 to the Chicago Convention.,1,,
OPS,"Where dangerous goods are carried on a flight which takes place wholly or partly outside the territory of a State, which language must be used on the transport document in addition to any other language?",English.,French.,Spanish.,"English, French, Spanish, Russian, Chinese.",1,,
OPS,Which items are allowed to be carried on board?,"Spare fuel cell cartridge, mercury thermometer, liquid oxygen.","Spare lithium battery, small oxygen bottle, avalanche rescue backpack.","Safety matches, aerosol, 70% or less alcoholic beverages.","Strike anywhere matches, smoke hood with oxygen supply, permeation devices for calibrating air quality monitoring equipment.",2,,
OPS,The authorization for the transport of hazardous materials is specified on the:,registration certificate.,air operator certificate.,airworthiness certificate.,insurance certificate.,2,,
OPS,"In accordance to EASA AIR OPS, a runway is referred to as contaminated when more than 25% of the required runway surface is covered with the one of the following elements:<br>1) a water film sufficiently thick to give a shiny appearance to the runway.<br>2) a water film or loose or slushy snow equivalent to more than 3 mm of water.<br>3) compacted snow (a solid mass which may not be compacted further).<br>4) ice, including wet ice.<br>5) moist grass.<br>The combination regrouping all the correct statements is:","2, 3, 4","1, 3, 4","1, 3, 4, 5","1, 2, 3, 4",1,,
OPS,Which of the following statements is correct concerning a take-off from a contaminated runway?,The take-off from a contaminated runway is forbidden.,The performance corrections for contamination should be applied with any kind of measurable contamination.,"As the amount of contamination increases at constant take-off weight, V1 should decrease to compensate for decreasing friction.",In general the performance data for take-off has been determined by means of calculation and has not been verified by flight tests.,4,,
OPS,"For an aeroplane with a tyre pressure of 14 bars, there is a risk of dynamic hydroplaning as soon as the:",tailwind is greater than 10 kts.,speed is greater than 129 kts.,speed is greater than 98 kts.,water depth is equal to the half of the depth of the tyre grooves.,2,,
OPS,"When there is a risk of hydroplaning, the pilot of an aeroplane:","should use normal landing, braking and reverse technique.","should use maximum reverse thrust, however should start braking below the hydroplaning speed.",must wait for landing until the risk for hydroplaning is no longer existing.,"should make a positive landing, apply maximum reverse thrust and start braking as quickly as possible.",4,,
OPS,In case of landing on a flooded runway and in heavy rain:<br>1) you increase your approach speed.<br>2) you land firmly in order to obtain a firm contact of the wheels with the runway and immediately land your nose gear.<br>3) you decrease your approach speed.<br>4) you use systematically all the lift dumper devices.<br>5) you land as smoothly as possible.<br>6) you brake energetically.<br>The combination regrouping all the correct statements is:,"2, 3, 4","1, 4, 5, 6","1, 2, 4","3, 5",3,,
OPS,How is the uncleared part of a contaminated runway reported in a SNOWTAM?,It is not reported.,As a percentage of the total length of the runway available as the final item of a SNOWTAM.,In plain language at item T (the final paragraph) of a SNOWTAM.,"By a four figure group added to item D, which gives the length in metres.",3,,
OPS,"Assuming contaminated runway conditions, if an aeroplane's main wheel tyre pressure is 206 psi, the approximate speed above which dynamic hydroplaning may occur is:",129 kts,114 kts,100 kts,80 kts,1,,
OPS,Viscous hydroplaning occurs primary if the runway is covered with a thin film of water and:,is rough textured.,is very smooth and clean.,the tyre treads are not in a good state.,is very smooth and dirty.,4,,
OPS,A braking action of 0.25 and below reported on a SNOWTAM is:,poor.,good.,unreliable.,medium.,1,,
OPS,Your flight manual does not include specific supplementary information on landing distances on wet runways and the service bulletins or weather reports indicate that the runway may be wet at the estimated time of arrival. The required landing distance on a dry runway must be increased by:,18%,20%,17.6%,15%,4,,
OPS,"For an airplane with a tyre pressure of 12 bars, there is a risk of dynamic hydroplaning as soon as the: <br> 1) water height is equal to the depth of the tyre grooves. <br> 2) speed is greater than 117 kts. <br> 3) water height is equal to the half of the depth of the tyre grooves. <br> 4) speed is greater than 83 kts. <br> The combination regrouping all the correct statements is:","3, 4","1, 4","1, 2","2, 3",3,,
OPS,"In accordance to EASA AIR OPS, a runway is considered damp when:",surface moisture gives it a shiny appearance.,it is covered with a film of water of less than 3 mm.,"its surface is not dry, and when surface moisture does not give it a shiny appearance.",it is covered with a film of water of less than 1 mm.,3,,
OPS,The presence of dynamic hydroplaning depends primarily on the:,depth of the standing water on the runway.,strength of the headwind.,value of the lift off speed.,aircraftâ€™s weight.,1,,
OPS,The braking efficiency is a piece of information presenting itself in the form of a:,"combination of the terms: poor, medium, good.",letter falling between A and E.,zero followed by two decimals.,percentage varying from 10% to 100%.,1,,
OPS,The type of hydroplaning that is most likely to occur at the touch down area located at both ends of the runway is called:,viscous.,dynamic.,rubber reversion.,rubber steaming.,1,,
OPS,The tyre pressure of an aeroplane main landing gear is 10.8 bars. There is a risk of hydroplaning as soon as the speed reaches:,145 kts,113 kts,56 kts,87 kts,2,,
OPS,"A runway covered with water 4 mm deep, is considered to be:",wet.,flooded.,contaminated.,damp.,3,,
OPS,The maximum validity of a SNOWTAM is:,3 hours.,6 hours.,24 hours.,12 hours.,3,,
OPS,A braking action of 0.29 - 0.26 reported on a SNOWTAM is:,medium to good.,medium to poor.,good.,poor.,2,,
OPS,"For an aeroplane with a tyre pressure of 16 bars, there is a risk of dynamic hydroplaning as soon as the:",speed is greater than 138 kts.,speed is greater than 117 kts.,cross wind is greater than 15 kts.,water depth is equal to the half of the depth of the tyre grooves.,1,,
OPS,Which of the following excerpts is a correct presentation of the braking action shown in a SNOWTAM?,...0.40/0.40/0.39...,...40/40/39...,...800/900/800...,...GOOD/GOOD/GOOD...,2,,
OPS,A runway is considered to be contaminated when its surface is covered more than:,25% with compacted snow.,10% with ice.,15% with melted snow.,20% with melted snow.,1,,
OPS,"In accordance to EASA AIR OPS, a runway is considered wet when:<br>1) it is covered with a quantity of water or loose or slushy snow less than or equal to the equivalent of 3 mm of water.<br>2) the amount of surface moisture is sufficient to modify its colour but does not give it a shiny appearance.<br>3) the amount of surface moisture is sufficient to make it reflective, but does not create large stagnant sheets of water.<br>4) it bears stagnant sheets of water.<br>The combination regrouping all the correct statements is:","1, 2",4,"1, 2, 3","1, 3",4,,
OPS,"Refer to figure 070-02<br>(Chart used: polar stereographic chart, grid parallel to zero<br>meridian, Grid North in the direction of Geographic North Pole.<br>The distance DME is shown in the box)<br>The inertial navigation system (INS) indicates:<br><br> Position: 71°55.1'N<br>Drift: 094°55.3'W<br>6°L (left)<br><br>The route followed in order to return to the VOR station is the<br>meridian of the VOR station used: RESOLUTE BAY (74°43.6'N 094°55.3W)<br><br>This VOR has North set on the local geographic meridian. The<br>gyro compass has just been reset to Grid North. The correct<br>representation of the RMI VOR/DME is at this moment",2,4,3,1,1,images/OPS/070-02.jpg,
OPS,"Refer to figure 070-03<br>Flight in a twin-engine aircraft from PARIS to WASHINGTON.<br>ETOPS authorisation: 105 minutes at 420 kts<br>Track A: time 8 hours 3 minutes<br>Track B: time 8 hours 10 minutes<br>Track C: time 8 hours 15 minutes<br>Track D: time 8 hours 20 minutes<br>Given that the three alternate aerodromes taken into account<br>are SHANNON, SANTA MARIA, ST JOHN TORBAY. the track to<br>be chosen between will be:",track C.,track D.,track B.,track A.,1,images/OPS/070-03.jpg,
OPS,"Refer to figure 070-05<br>Due toa cabin pressurization defect the maximum differential<br>pressure is limited to 3 psi. Assuming you don't want the<br>cabin altitude to be greater than 14000 feet because the<br>oxygen masks would be deployed, the maximum achievable<br>flight altitude is approximately:",23 000 ft,22 000 ft,23 500 ft,20000 ft,3,images/OPS/07-03.jpg,
OPS,"Refer to figure 070-05<br>Due to a cabin pressurization defect the maximum differential<br>pressure is limited to 2 psi. Assuming you don't want the<br>cabin altitude being greater than 10000 feet, the maximum<br>achievable flight altitude is approximately:",15 100 ft,14000 ft,12000 ft,5000 ft,1,images/OPS/070-05.jpg,
OPS,"Refer to figure 070-07<br>If a package is marked with a label shown in figure "E" of the<br>attached diagram, it contains:",a corpse.,an infectious substance.,an explosive substance.,a toxic material.,4,images/OPS/070-07.jpg,
OPS,Refer to figure 070-07<br>What is the meaning of digit "4" on label "C"?,UN number,ID number,Hazard class,Packing instruction,3,images/OPS/070-07.jpg,
OPS,"Refer to figure 070-07<br>If a package is marked with a label shown in figure "A" of the<br>attached diagram, it contains:",radioactive material.,explosives.,toxic or infectious material.,oxides and peroxides.,2,images/OPS/070-07.jpg,
OPS,"Refer to figure 070-08<br>Refer to the attached diagram. A package containing Lithium<br>lon Batteries is to be transported by aircraft. In the Technical<br>Instructions (ICAO Doc 9284) you see a number "3480" listed<br>in column 2. What does the number 3480 represent?",The item's Dangerous Goods classification.,The item's UN number.,The item's packing instruction reference number.,The item's transport index.,2,images/OPS/070-08.jpg,
OPS,"Refer to figure 070-06<br>2 pallets of live animals marked "AVI"<br>2 luggage containers marked "BAG"<br>1 mortal remains marked "HUM"<br>1 pallet of food product marked "EAT"<br>1 pallet of radioactive materials marked "RRY"<br>1 pallet of toxic materials marked "RHF"<br>The locations still vacant shall be marked "XXX". According to<br>the table of compatibility of special freight and hazardous<br>materials given in the appendix, the most operational<br>distribution in the holds shall be:",Hold 1: BAG - BAG - RRY - HUM;<br>Hold 2: AVI - AVI - XXX - EAT (RHF disembarked).<br>,Hold 1: BAG - RHF - HUM - RRY;<br>Hold 2: AVI - AVI - BAG - EAT.<br>,Hold 1: EAT - BAG - AVI - AVI;<br>Hold 2: BAG - HUM - RRY - RHF.<br>,Hold 1: EAT - BAG - RRY - RHF;<br>Hold 2: BAG - AVI - AVI - HUM.,2,images/OPS/070-06.jpg,
OPS,"For turbo-jet aircraft, in the flight preparation stage, the<br>landing distance at the scheduled destination aerodrome shall<br>be less than the available landing distance multiplied by а<br>factor of:",0.5,0.6,0.8,0.7,2,,
OPS,ICAO Annex 6 defines 'flight time' for aeroplanes as:,The total time from the moment an aeroplane first enters the runway for the purpose of taking-off until the moment it leaves the runway after landing.,The total time from the moment an aeroplane first takes-off until the moment of landing.,The total time from the moment an aeroplane first moves for the purpose of taking off until the moment it finally comes to rest at the end of the flight.,The total time from the moment an aeroplane closes its doors prior to taxi until the moment the doors open again after the aeroplane finally comes to halt.,3,,
OPS,The coverage angle of the red navigation/position light is:,70°,140°,220°,110°,4,,
OPS,"For twin-engined aircraft, the take-off alternate shall be located at a distance that: (Annex 6, Part I)","does not exceed the equivalent of two hour of flight time at cruising speed, all engines operating.","does not exceed the equivalent of two hours of flight time, at cruising speed with only one engine operative.","does not exceed the equivalent of one hour of flight time at cruising speed, all engines operating.","does not exceed the equivalent of one hour of flight time, at cruising speed with only one engine operative.",4,,
OPS,"During a night flight, an observer located in the cockpit, seeing an aircraft coming from front right on approximate opposite parallel track, will first see the:",red and white flashing lights.,steady white light.,steady red light.,steady green light.,4,,
OPS,"During a night flight, an observer located in the cockpit, seeing an aircraft coming from front left on approximate opposite parallel track, will first see the:",green and white flashing light.,white steady light.,red steady light.,green steady light.,3,,
OPS,ICAO Annex 6:<br>In the flight preparation stage for a turbo-propeller aircraft, the<br>landing distance at an alternate aerodrome shall be less than<br>the available landing distance multiplied by a factor of:,0.5,0.8,0.7,0.6,3,,
OPS,ICAO Annex 6 defines 'flight time' for aeroplanes as:,airborne time,time to consult MEL,chocks off chocks on,crew duty time,3,,
OPS,"The coverage angle ofthe regulatory white position lights, continuously lit in flight and located at the rear of the aircraft, is:",140°,70°,220°,110°,1,,
OPS,ICAO Annex 6 Part I is applicable to:,International Commercial Air Transport - Aeroplanes,International General Aviation - Aeroplanes,International Commercial Air Transport - Helicopters,International Operations - Aeroplanes & Helicopters,1,,
OPS,"The regulatory green navigation light is located on thestarboard wing tip, with a coverage angle of:",110°,140°,220°,70°,1,,
OPS,"With reference to ICAO Annex 6, adeparture aerodrome can also be used as a:",take-off diversion only.,en route and destination diversion.,take-off and en route diversion.,backup diversion.,2,,
OPS,"Animals on board. When can the captain leave the cockpit to check on them?","Regularly, depending on the corresponding animal transporation checklist.",The animals are checked by the cabin crew.,Only in the interests of safety.,Animals cannot be checked during flight.,3,,
OPS,"The operator shall only conduct CAT II, OTS CAT II or CAT I operations if:",all height call-outs below 200 ft above the aerodrome threshold elevation are determined by a radio altimeter.,all height call-outs below 500 ft above the aerodrome elevation are determined by a radio altimeter.,all height call-outs below 500 ft above the aerodrome threshold elevation are determined by a radio altimeter.,all height call-outs below 200 ft above the aerodrome elevation are determined by a radio altimeter.,1,,
OPS,The commander shall declare an emergency when the:,calculated landing fuel will be lower than the specified minimum within the flight/OPS manual.,calculated landing fuel at the destination airport is lower than the alternate plus final reserve.,"calculated usable fuel on landing, at the nearest adequate aerodrome where a safe landing can be performed, is less than final reserve fuel.","calculated usable fuel on landing, at the nearest adequate aerodrome where a safe landing can be performed, is less than for 30 minutes flight time.",3,,
OPS,Who is responsible for ensuring operations are conducted on appropriate routes and in appropriate airspace?,The controller.,The competent authority.,The commander.,The operator.,4,,
OPS,"In accordance with EASA AIR OPS - pressurized aircraft<br>during and following an emergency descent, each occupant of<br>the cockpit seats on duty must have access to a minimum<br>amount of oxygen in:<br>1) order to maintain a supply throughout the entire flight time<br>where the cabin pressure altitude is greater than 13 000 ft.<br>2) order to maintain a supply throughout the entire flight time<br>where the cabin pressure altitude is greater than 10000 ft and<br>smaller than 13 000 ft minus 30 minutes.<br>3) no case less than 30 minutes for airplanes certified to fly up<br>to 25 000 ft.<br>4) no case less than 2 hours for airplanes certified to fly at<br>over 25000 ft.<br>The combination regrouping all the correct statements is:","1,4","1,2, 3, 4","1,2","1,2,4",2,,
OPS,According to EASA AIR OPS, the lowest minima to be used by an operator for circling with a category B aeroplane is a meteorological visibility of:,1600 m,3600 m,1500 m,2400 m,1,,
OPS,An aeroplane operating under the 180 minutes ETOPS rule may be up to:,180 minutes flying time to a suitable airport in still air with one engine inoperative.,180 minutes flying time to a suitable airport under the prevailing weather condition with one engine inoperative.,"90 minutes flying time from the first enroute airport and another 90 minutes from the second enroute airport in still air with one engine inoperative.","180 minutes flying time from suitable airport in still air at a normal cruising speed.",1,,
OPS,Who must finally determine that the load and its distribution is such that the mass and balance limits of the aircraft are not exceeded and confirm their acceptance by countersigning the mass and balance documentation?,The operator.,The airline's dispatcher.,The commander.,The flight engineer.,3,,
OPS,According to EASA regulations, an operator shall not operate a turbine propeller powered aeroplane with a maximum certificated take-off mass in excess of 5 700 kg or having a maximum approved passenger seating configuration of more than nine seats ora turbojet powered aeroplane unless it is equipped with an altitude alerting system capable of alerting the flight crew when:,"deviating from a preselected altitude.",exceeding the service ceiling of the aeroplane.,cabin altitude exceeds 10000 ft (cabin pressure below 700hPa).,flying over terrain that exceeds the maximum one-engine-inoperative cruising altitude.,1,,
OPS,Who has the final say if someone is allowed in the cockpit?,commander,flight safety officer,operator,safety manager,1,,
OPS,"According to EASA AIR OPS, a life jacket is mandatory for each person on board a land aeroplane, when flying over watenat a distance from the shore of more than:",200 NM,100 NM,50 NM,400 NM,3,,
OPS,According to EASA AIR OPS, the MDH fora category A aircraft circling are respectively.,700 ft,500 ft,400 ft,600 ft,3,,
OPS,An aircraft whose maximum approved passenger seating configuration is 7 to 30 seats must be equipped with at least:,3 hand fire extinguishers conveniently located in the passenger compartment.,2 hand fire extinguishers conveniently located in the passenger compartment.,1 hand fire extinguisher conveniently located in the passenger compartment.,4 hand fire extinguishers conveniently located in the passenger compartment.,3,,
OPS,The MOCA is 8300. Which altitude corresponds to the next highest obstacle?,6 800 ft,6230 ft,6500 ft,7230 ft,2,,
OPS,""In accordance with EASA AIR OPS, for a non-pressurized aircraft, 100% of passengers shall be supplied with supplemental oxygen during:"",""the entire flight time at pressure altitudes above 13000 ft."",the entire flight time after 30 minutes at pressure altitudes greater than 10000 ft but not exceeding 13 000 ft.,the entire flight time at pressure altitudes above 10 000 ft.,the entire flight time at pressure altitudes above 13 000 ft and for any period exceeding 30 minutes at pressure altitudes above 10000 ft but not exceeding 13 000 ft.,1,,
OPS,"According to AIR OPS, the selection ofa destination alternate is NOT required when:",the destination is isolated and no adequate destination alternate exists.,the duration of the planned flight does not exceed 8 hours and the weather forecast calls for VMC at the destination aerodrome.,you have an adequate take-off alternate.,the destination aerodrome has an ILS approach for each runway.,1,,
OPS,According to EASA AIR OPS, in establishing the aerodrome or heliport operating minima which will apply to any particular operation, an operator must take full account of:<br> 1) Equipment available for navigation.<br> 2) Dimensions and characteristics of the runways.<br> 3) Composition of the flight crew.<br> 4) Obstacles in the vicinity of approach and missed approach areas.<br> 5) Facilities for determining and communicating the weather conditions.<br>The combination regrouping all the correct statements is:,"2.4,5","1, 2, 3, 4, 5","2,3,5","1,2,4,5",2,,
OPS,A category Il precision approach (CAT II) is an approach with:,no decision height.,a decision height of at least 50 ft.,a decision height of at least 100 ft.,a decision height of at least 200 ft.,3,,
OPS,"According to EASA AIR OPS, what is the lowest possible MDH for an ILS without glideslope (LLZ only) non-precision approach?",300 ft,250 ft,200 ft,100 ft,2,,
OPS,"With regard to flight and duty time limitations, the term "Night duty" means:",a duty period encroaching any portion of the period between 23:59 and 05:59 in the time zone to which the crew is acclimatised.,a duty period encroaching any portion of the period between 23:59 and 05:59 in the time zone in which the crew has arrived.,a duty period encroaching any portion of the period between 02:00 and 04:59 in the time zone in which the crew has arrived.,a duty period encroaching any portion of the period between 02:00 and 04:59 in the time zone to which the crew is acclimatised.,4,,
OPS,"According to AIR OPS, what is the definition of an Air Operator Certificate?","A certificate needed to carry out specified commercial international air transport operations, but not for domestic commercial flights.",A certificate automatically authorising an operator to carry out domestic air services in any ICAO contracting State.,A certificate authorising an operator to carry out specified commercial air transport operations.,A certificate the crew will present to immigration officers, stating that all passengers on board fulfil the visa requirements needed.,3,,
OPS,"According to AIR OPS, planning minima fora destination aerodrome (or heliport) with an applicable precision approach procedure is:",Non-precision minima plus 200 ft /1 000 m.,"RVR / visibility specified in accordance with AIR OPS, PartCAT.","RVR/visibility and ceiling at or above DH specified in accordance with AIR OPS, Part-CAТ.",Non-precision minima.,2,,
OPS,"According to EASA AIR OPS, the lowest minima to be used by an operator for circling with a category A aeroplane is a meteorological visibility of:",1500 m,3600 m,1600 m,2400 m,1,,
OPS,Commission Regulation (EU) No 965/2012 is divided into several Annexes. Which of the following statements is correct?,"Annex II details Commercial Air Transport Operations, Annex lll details Specific Approvals.","Annex III details Operator Organisation requirements, Annex IV details Commercial Air Transport","Annex I details Definitions, Annex IV details Specific Approvals","Annex II details Operator Organisation Requirements, Annex V details Commercial Air Transport",2,,
OPS,"According to EASA AIR OPS, the MDH for a category C aircraft circling are respectively.",500 ft,700 ft,400 ft,600 ft,4,,
OPS,Securing of passenger cabin and galley.<br>1) The operator shall establish procedures to ensure that<br>before taxiing, take-off and landing all exits and escape paths<br>are unobstructed.<br>2) The commander shall ensure that before take-off and<br>landing, and whenever deemed necessary in the interest of<br>safety, all equipment and baggage are properly secured.,"1) is correct; 2) is incorrect","1) is correct; 2) is correct","1) is incorrect; 2) is incorrect","1) is incorrect; 2) is correct",2,,
OPS,How many type ratings can a pilot operating both helicopters and aeroplanes hold?,unlimited types of each,"1 helicopter type; unlimited aeroplane types","1 type of each","1 aeroplane type; unlimited helicopter types",3,,
OPS,"The total duty periods to which a crew member may be assigned shall not exceed:",100 duty hours in any 28 consecutive days.,110 duty hours in any 28 consecutive days.,60 duty hours in any 7 consecutive days.,100 duty hours in any 14 consecutive days.,3,,
OPS,"According to EASA AIR OPS, what is the planning minima for a destination alternate with a non precision approach available?",Non-precision minima (RVR and the ceiling at or above MDH).,RVR according to CAT I.,Circling minima.,Non-precision minima (RVR and the ceiling at or above MDH) plus 1 000 m / 200 ft.,4,,
OPS,"According to EASA AIR OPS, an aircraft whose maximum approved passenger seating configuration is 200 must be equipped with:",5 hand fire extinguishers in the passenger compartment.,4 hand fire extinguishers in the passenger compartment.,7 hand fire extinguishers in the passenger compartment.,3 hand fire extinguishers in the passenger compartment.,4,,
OPS,"In the case of aeroplanes, pilots that have been issued a type rating based on a zero flight time training (ZFTT) course shall commence line flying under supervision not later than _ after the completion of the skill test or after appropriate training provided by the operator. The content of such training shall be described in the operations manual.",60 days,30 days,21 days,15 days,3,,
OPS,A category I precision approach (CAT I) has:,a decision height equal to at least 200 ft.,a decision height equal to at least 50 ft.,a decision height equal to at least 100 ft.,no decision height,1,,
OPS,"Following an accident involving dangerous goods, how much time does an operator have before he must report to the competent authority?",24 hours,48 hours,12 hours,72 hours,4,,
OPS,"With regards to the managements system of complex operators, the safety action group should:","monitor operational safety and resolve identified risks.","assess the impact on safety of operational changes.","ensure that safety actions are implemented within agreed timescales.","All of the above.","4",,
OPS,"For three and four-engined aeroplanes, the take-off alternate, if required, shall be located (in still air conditions) within:","1 hour flight time at one engine inoperative cruising speed.","2 hours flight time at cruising speed with all engines operating.","2 hours flight time at one engine inoperative cruising speed.","1 hour flight time at cruising speed with all engines operating.","3",,
OPS,"The MOCA in an area (no mountains) is 6300. Which altitude corresponds to the next highest obstacle?","5201 ft","4500 ft","5100 ft","3300 ft","1",,
OPS,"According to EASA AIR OPS, an operator shall not operate an aeroplane with a maximum approved passenger seating configuration of more than and when carryingor more passengers, unless at least one cabin crew is included.","9; five","19; one","9; one","15; five","2",,
